id,name,active,group_propagation_option,action,sequence,company_id/id,location_dest_id/id,location_src_id/id,route_id/id,procure_method,picking_type_id/id,delay,propagate_carrier,warehouse_id/id,propagate_warehouse_id/id,auto
stock_rule_pl_ek_stock_inter_warehouse_transit,PL-EK: Stock → Inter-warehouse transit,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,Jinasena_MasterData_Stock.stock_route_raw_material_main_warehouse_rp_ek_supply_484,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_789,0,,seed_master_data_and_settings.warehouse_pl_ek_c1,,manual
stock_rule_rp_ek_inter_warehouse_transit_stock,RP-EK: Inter-warehouse transit → Stock,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,Jinasena_MasterData_Stock.stock_route_raw_material_main_warehouse_rp_ek_supply_484,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_receipts_145,0,,seed_master_data_and_settings.warehouse_rp_ek_c1,seed_master_data_and_settings.warehouse_pl_ek_c1,manual
stock_rule_cw_cm_stock_inter_warehouse_transit_mto_1245,CW-CM: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders,0,1,seed_master_data_and_settings.warehouse_cw_cm_c1,,manual
stock_rule_cw_cm_stock_inter_warehouse_transit_1246,CW-CM: Stock → Inter-warehouse transit,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,Jinasena_MasterData_Stock.stock_route_production_warehouse_for_machining_and_a_488,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders,0,,seed_master_data_and_settings.warehouse_cw_cm_c1,,manual
stock_rule_pw_ma_inter_warehouse_transit_stock_1247,PW-MA: Inter-warehouse transit → Stock,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,Jinasena_MasterData_Stock.stock_route_production_warehouse_for_machining_and_a_488,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_receipts_776,0,,seed_master_data_and_settings.warehouse_pw_ma_c1,seed_master_data_and_settings.warehouse_cw_cm_c1,manual
stock_rule_pw_ma_stock_inter_warehouse_transit_mto,PW-MA: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_777,0,1,seed_master_data_and_settings.warehouse_pw_ma_c1,,manual
stock_rule_pw_ma_stock_inter_warehouse_transit,PW-MA: Stock → Inter-warehouse transit,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,Jinasena_MasterData_Stock.stock_route_production_warehouse_pw_e1_supply_produc_489,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_777,0,,seed_master_data_and_settings.warehouse_pw_ma_c1,,manual
stock_rule_pw_e1_inter_warehouse_transit_stock_1250,PW-E1: Inter-warehouse transit → Stock,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,Jinasena_MasterData_Stock.stock_route_production_warehouse_pw_e1_supply_produc_489,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_receipts_136,0,,seed_master_data_and_settings.warehouse_pw_e1_c1,seed_master_data_and_settings.warehouse_pw_ma_c1,manual
stock_rule_pw_ma_stock_inter_warehouse_transit_mto_1252,PW-MA: Stock → Inter-warehouse transit (MTO),1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,stock.route_warehouse0_mto,mts_else_mto,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_777,0,1,seed_master_data_and_settings.warehouse_pw_ma_c1,,manual
stock_rule_pw_ma_stock_inter_warehouse_transit_1253,PW-MA: Stock → Inter-warehouse transit,1,propagate,pull,20,seed_master_data_and_settings.company_jinasena_pvt_ltd,Jinasena_MasterData_Stock.stock_location_inter_warehouse_transit,,Jinasena_MasterData_Stock.stock_route_production_warehouse_pw_je_supply_produc_490,make_to_order,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_777,0,,seed_master_data_and_settings.warehouse_pw_ma_c1,,manual
