id,name,complete_name,active,usage,location_id/id,comment,posx,posy,posz,parent_path,company_id/id,return_location,cyclic_inventory_frequency,last_inventory_date,warehouse_id/id,x_color,x_studio_many2many_field_7kpUe/id,x_studio_finished_good_location,x_studio_users_stock_location/id,x_studio_users_internal_transfer/id,x_studio_temp_location
stock_location_rp_ek_transit,RP-EK/Transit,RP-EK/Transit,1,internal,,<p><br></p>,0,0,0,190/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,2024-06-18,,0,,,,,
stock_location_eka,EKA,RP-JM/EKA,1,internal,,,0,0,0,1/518/963/,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,0,,seed_master_data_and_settings.warehouse_rp_jm_c2,0,,,,,
stock_location_transit_209,Transit,SP-RC/Transit,1,internal,,<p><br></p>,0,0,0,1/99/209/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,,seed_master_data_and_settings.warehouse_sp_rc_c1,0,,,,,
stock_location_test,TEST,TEST,1,view,stock.stock_location_locations,,0,0,0,1/726/,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,0,,,0,,,,,
stock_location_tv_sc,TV-SC,TV-SC,1,view,stock.stock_location_locations,,0,0,0,1/406/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,,,0,,,,,
stock_location_temp,Temp,Temp,1,view,,<p><br></p>,0,0,0,1/182/766/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,,seed_master_data_and_settings.warehouse_mw_ek_c1,0,,,,,1
stock_location_mj,MJ,Virtual Locations/MJ,1,inventory,stock.stock_location_locations_virtual,<p><br></p>,0,0,0,3/385/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,,,0,,,,,
stock_location_mr,MR,Virtual Locations/MR,1,inventory,stock.stock_location_locations_virtual,<p><br></p>,0,0,0,3/205/,seed_master_data_and_settings.company_jinasena_pvt_ltd,,0,,,0,,,,,
stock_location_repair_br_av,Repair/BR-AV,Virtual Locations/Repair/BR-AV,1,inventory,stock.stock_location_locations_virtual,<p><br></p>,0,0,0,3/1017/,seed_master_data_and_settings.company_jinasena_agricultural_machinery,1,0,,,0,seed_master_data_and_settings.user_748,,,,
stock_location_repair_br_ne,Repair/BR-NE,Virtual Locations/Repair/BR-NE,1,inventory,stock.stock_location_locations_virtual,<p><br></p>,0,0,0,3/1016/,seed_master_data_and_settings.company_jinasena_agricultural_machinery,1,0,,,0,,,,,
stock_location_repair_colombo,Repair/Colombo,Virtual Locations/Repair/Colombo,1,inventory,stock.stock_location_locations_virtual,<p><br></p>,0,0,0,3/255/,seed_master_data_and_settings.company_jinasena_pvt_ltd,1,0,,,0,,,,,
stock_location_repair_ekala,Repair/Ekala,Virtual Locations/Repair/Ekala,1,inventory,stock.stock_location_locations_virtual,<p><br></p>,0,0,0,3/389/,seed_master_data_and_settings.company_jinasena_pvt_ltd,1,0,,,0,,,,,
stock_location_repair_ekala_667,Repair/Ekala,Virtual Locations/Repair/Ekala,1,inventory,stock.stock_location_locations_virtual,<p><br></p>,0,0,0,3/667/,seed_master_data_and_settings.company_jinasena_agricultural_machinery,1,0,,,0,,,,,
stock_location_repair_rp_qu,Repair/RP-QU,Virtual Locations/Repair/RP-QU,1,inventory,stock.stock_location_locations_virtual,<p><br></p>,0,0,0,3/415/,seed_master_data_and_settings.company_jinasena_pvt_ltd,1,0,,,0,,,,,
