id,default_code,active,product_tmpl_id/id,barcode,combination_indices,volume,weight,base_unit_count,x_studio_item_approved_temp,x_studio_item_approved,x_studio_item_approval_request_sent,x_studio_item_approval_request_sent_temp
product_product_id_135519,33TR 15119,1,Jinasena_MasterData_Stock.product_template_lock_column,33TR 15119,,0.0,0.0,0.0,,,,
product_product_id_135520,33TR 15120,1,Jinasena_MasterData_Stock.product_template_lock_pin_332447,33TR 15120,,0.0,0.0,0.0,,,,
product_product_id_135521,33TR 15121,1,Jinasena_MasterData_Stock.product_template_pin_hanger,33TR 15121,,0.0,0.0,0.0,,,,
product_product_id_135522,33TR 15122,1,Jinasena_MasterData_Stock.product_template_axel_box_332449,33TR 15122,,0.0,0.0,0.0,,,,
product_product_id_135523,33TR 15123,1,Jinasena_MasterData_Stock.product_template_draw_bar_box,33TR 15123,,0.0,0.0,0.0,,,,
product_product_id_135524,33TR 15124,1,Jinasena_MasterData_Stock.product_template_draw_bar_332451,33TR 15124,,0.0,0.0,0.0,,,,
product_product_id_135525,33TR 15125,1,Jinasena_MasterData_Stock.product_template_hitch_side_plate,33TR 15125,,0.0,0.0,0.0,,,,
product_product_id_135526,33TR 15126,1,Jinasena_MasterData_Stock.product_template_hitch_bush_332453,33TR 15126,,0.0,0.0,0.0,,,,
product_product_id_135527,33TR 15127,1,Jinasena_MasterData_Stock.product_template_trawing_eye,33TR 15127,,0.0,0.0,0.0,,,,
product_product_id_135528,33TR 15128,1,Jinasena_MasterData_Stock.product_template_lock_bush,33TR 15128,,0.0,0.0,0.0,,,,
product_product_id_135529,33TR 15129,1,Jinasena_MasterData_Stock.product_template_columns_trailer_cover,33TR 15129,,0.0,0.0,0.0,,,,
product_product_id_135530,33TR 15130,1,Jinasena_MasterData_Stock.product_template_tie_beams,33TR 15130,,0.0,0.0,0.0,,,,
product_product_id_135531,33TR 15131,1,Jinasena_MasterData_Stock.product_template_top_body_strip_long,33TR 15131,,0.0,0.0,0.0,,,,
product_product_id_135532,33TR 15132,1,Jinasena_MasterData_Stock.product_template_top_body_strp_short,33TR 15132,,0.0,0.0,0.0,,,,
product_product_id_135533,33TR 15201,1,Jinasena_MasterData_Stock.product_template_axel_box_wooden_trailer,33TR 15201,,0.0,0.0,0.0,,,,
product_product_id_135534,33TR 15202,1,Jinasena_MasterData_Stock.product_template_draw_bar_box_wooden_trailer,33TR 15202,,0.0,0.0,0.0,,,,
product_product_id_135535,33TR 15203,1,Jinasena_MasterData_Stock.product_template_draw_bar_wooden_trailer,33TR 15203,,0.0,0.0,0.0,,,,
product_product_id_135536,33TR 15204,1,Jinasena_MasterData_Stock.product_template_chassis_member_1_wodden_trailer,33TR 15204,,0.0,0.0,0.0,,,,
product_product_id_135537,33TR 15205,1,Jinasena_MasterData_Stock.product_template_chassis_member_2_wooden_trailer,33TR 15205,,0.0,0.0,0.0,,,,
product_product_id_135538,33TR 15206,1,Jinasena_MasterData_Stock.product_template_floor_board_member_1_wooden_trai,33TR 15206,,0.0,0.0,0.0,,,,
product_product_id_135539,33TR 15207,1,Jinasena_MasterData_Stock.product_template_floor_board_member_2_wooden_trai,33TR 15207,,0.0,0.0,0.0,,,,
product_product_id_135540,33TR 15208,1,Jinasena_MasterData_Stock.product_template_floor_board_member_3_wooden_trai,33TR 15208,,0.0,0.0,0.0,,,,
product_product_id_135541,33TR 15209,1,Jinasena_MasterData_Stock.product_template_brake_main_rod,33TR 15209,,0.0,0.0,0.0,,,,
product_product_id_135542,33TR 15210,1,Jinasena_MasterData_Stock.product_template_brake_cross_rod_wooden_trailer,33TR 15210,,0.0,0.0,0.0,,,,
product_product_id_135543,33TR 15211,1,Jinasena_MasterData_Stock.product_template_brake_mounting_bush,33TR 15211,,0.0,0.0,0.0,,,,
product_product_id_135544,33TR 15212,1,Jinasena_MasterData_Stock.product_template_brake_adjusting_turn_buccle_nut,33TR 15212,,0.0,0.0,0.0,,,,
