id,name,active,company_id/id,partner_id/id,code,reception_steps,delivery_steps,sequence,manufacture_to_resupply,manufacture_steps,buy_to_resupply
stock_warehouse_retail_counter_for_products_implements_a,"Retail Counter for Products, Implements And Accessories - Thimbirigasya",1,,Jinasena_MasterData_Common.res_partner_jinasena_agricultural_machinery_pvt_ltd,RC-TM,one_step,ship_only,10,,mrp_one_step,1
stock_warehouse_jam_non_moving_warehouse,JAM Non Moving Warehouse,1,,Jinasena_MasterData_Common.res_partner_jinasena_agricultural_machinery_pvt_ltd,JM-NM,one_step,ship_only,10,,mrp_one_step,1
stock_warehouse_intransit_warehouse_jam,Intransit warehouse - JAM,1,,Jinasena_MasterData_Common.res_partner_jinasena_agricultural_machinery_pvt_ltd,IW-JM,one_step,ship_only,10,,mrp_one_step,1
stock_warehouse_intransit_warehouse_embilipitiya,Intransit warehouse - Embilipitiya,1,,Jinasena_MasterData_Common.res_partner_jinasena_agricultural_machinery_pvt_ltd,IB-EM,one_step,ship_only,10,,mrp_one_step,1
stock_warehouse_retail_counter_waste_management,Retail Counter - Waste Management,1,,Jinasena_MasterData_Common.res_partner_jinasena_agricultural_machinery_pvt_ltd,RC-WM,one_step,ship_only,10,,mrp_one_step,1
stock_warehouse_tender_warehouse_head_office,Tender warehouse - Head Office,1,,Jinasena_MasterData_Common.res_partner_jinasena_agricultural_machinery_pvt_ltd,TD-HO,one_step,ship_only,10,1,mrp_one_step,1
stock_warehouse_br_an_warehouse_for_anuradhapura_sales_c,BR-AN - Warehouse for Anuradhapura Sales Center,1,base.main_company,base.main_partner,BR-AN,one_step,ship_only,11,,mrp_one_step,1
stock_warehouse_rc_tm_warehouse_for_colombo_sales_center,RC-TM - Warehouse for Colombo Sales Center,1,base.main_company,base.main_partner,RC-TM,one_step,ship_only,12,1,mrp_one_step,1
stock_warehouse_main_warehouse_mw_ek_22,Main warehouse - MW-EK,1,base.main_company,base.main_partner,MW-EK,one_step,ship_only,14,,mrp_one_step,
stock_warehouse_casting_department_mw_jc,Casting Department - MW-JC,1,base.main_company,base.main_partner,MW-JC,one_step,ship_only,16,1,mrp_one_step,
stock_warehouse_repairs_warehouse_rp_cm,Repairs warehouse - RP-CM,1,base.main_company,base.main_partner,RP-CM,one_step,ship_only,18,1,mrp_one_step,1
stock_warehouse_br_ek_warehouse_for_ekala_sales_center,BR-EK - Warehouse for Ekala Sales Center,1,base.main_company,base.main_partner,BR-EK,one_step,ship_only,19,,mrp_one_step,1
stock_warehouse_quick_repairs_warehouse_rp_qu,Quick Repairs warehouse - RP-QU,1,base.main_company,base.main_partner,RP-QU,one_step,ship_only,20,1,mrp_one_step,1
stock_warehouse_electrical_installation_projects_warehou,Electrical Installation Projects warehouse - PJ-EI,1,base.main_company,base.main_partner,PJ-EI,one_step,ship_only,21,,mrp_one_step,1
