id,return_picking_type_id/id
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_852,Jinasena_MasterData_Stock.stock_picking_type_receipts_851
Jinasena_MasterData_Stock.stock_picking_type_receipts_861,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_862
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_862,Jinasena_MasterData_Stock.stock_picking_type_receipts_861
Jinasena_MasterData_Stock.stock_picking_type_receipts_871,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_872
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_872,Jinasena_MasterData_Stock.stock_picking_type_receipts_871
Jinasena_MasterData_Stock.stock_picking_type_receipts_881,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_882
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_882,Jinasena_MasterData_Stock.stock_picking_type_receipts_881
Jinasena_MasterData_Stock.stock_picking_type_receipts_891,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_892
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_892,Jinasena_MasterData_Stock.stock_picking_type_receipts_891
Jinasena_MasterData_Stock.stock_picking_type_receipts_901,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_902
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_902,Jinasena_MasterData_Stock.stock_picking_type_receipts_901
Jinasena_MasterData_Stock.stock_picking_type_receipts_911,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_912
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_912,Jinasena_MasterData_Stock.stock_picking_type_receipts_911
Jinasena_MasterData_Stock.stock_picking_type_receipts_921,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_922
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_922,Jinasena_MasterData_Stock.stock_picking_type_receipts_921
Jinasena_MasterData_Stock.stock_picking_type_receipts_931,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_932
Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_932,Jinasena_MasterData_Stock.stock_picking_type_receipts_931
Jinasena_MasterData_Stock.stock_picking_type_receipts_941,Jinasena_MasterData_Stock.stock_picking_type_delivery_orders_942
