id,manu_type_id/id,pos_type_id/id,repair_type_id/id
Jinasena_MasterData_Stock.stock_warehouse_jam_scrap_warehouse,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_1009,Jinasena_MasterData_Stock.stock_picking_type_repairs_1010
Jinasena_MasterData_Stock.stock_warehouse_research_and_development_jam_factory_eka,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_1019,Jinasena_MasterData_Stock.stock_picking_type_repairs_1020
Jinasena_MasterData_Stock.stock_warehouse_retail_counter_waste_managementx,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_1029,Jinasena_MasterData_Stock.stock_picking_type_repairs_1030
Jinasena_MasterData_Stock.stock_warehouse_retail_counter_for_products_implements_a,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_1039,Jinasena_MasterData_Stock.stock_picking_type_repairs_1040
Jinasena_MasterData_Stock.stock_warehouse_jam_non_moving_warehouse,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_1049,Jinasena_MasterData_Stock.stock_picking_type_repairs_1050
Jinasena_MasterData_Stock.stock_warehouse_intransit_warehouse_jam,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_1059,Jinasena_MasterData_Stock.stock_picking_type_repairs_1060
Jinasena_MasterData_Stock.stock_warehouse_intransit_warehouse_embilipitiya,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_1069,Jinasena_MasterData_Stock.stock_picking_type_repairs_1070
Jinasena_MasterData_Stock.stock_warehouse_retail_counter_waste_management,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_1029,Jinasena_MasterData_Stock.stock_picking_type_repairs_1079
Jinasena_MasterData_Stock.stock_warehouse_tender_warehouse_head_office,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_1094,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_1095,Jinasena_MasterData_Stock.stock_picking_type_repairs_1096
Jinasena_MasterData_Stock.stock_warehouse_br_an_warehouse_for_anuradhapura_sales_c,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_171,
Jinasena_MasterData_Stock.stock_warehouse_rc_tm_warehouse_for_colombo_sales_center,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_179,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_180,
Jinasena_MasterData_Stock.stock_warehouse_main_warehouse_mw_ek_22,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_198,
Jinasena_MasterData_Stock.stock_warehouse_casting_department_mw_jc,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_226,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_227,
Jinasena_MasterData_Stock.stock_warehouse_repairs_warehouse_rp_cm,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_255,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_256,
Jinasena_MasterData_Stock.stock_warehouse_br_ek_warehouse_for_ekala_sales_center,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_268,
Jinasena_MasterData_Stock.stock_warehouse_quick_repairs_warehouse_rp_qu,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_277,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_278,
Jinasena_MasterData_Stock.stock_warehouse_electrical_installation_projects_warehou,,Jinasena_MasterData_Stock.stock_picking_type_pos_orders_288,
